step,power_db,theta_deg,phi_deg
2.620000000000000000e+02,-9.504471046789056743e+01,9.178212738037109375e+01,-8.051531910896301270e-01
2.630000000000000000e+02,-9.504293307874252150e+01,9.179290008544921875e+01,-8.100166916847229004e-01
2.640000000000000000e+02,-9.504115179895096333e+01,9.180370330810546875e+01,-8.148925900459289551e-01
2.650000000000000000e+02,-9.503936740290951946e+01,9.181452941894531250e+01,-8.197808861732482910e-01
2.660000000000000000e+02,-9.503758027925462670e+01,9.182537841796875000e+01,-8.246815204620361328e-01
2.670000000000000000e+02,-9.503578850996314031e+01,9.183625793457031250e+01,-8.295945525169372559e-01
2.680000000000000000e+02,-9.503399325362377681e+01,9.184716796875000000e+01,-8.345199823379516602e-01
2.690000000000000000e+02,-9.503219336280450591e+01,9.185810089111328125e+01,-8.394578099250793457e-01
2.700000000000000000e+02,-9.503039037901515940e+01,9.186906433105468750e+01,-8.444079756736755371e-01
2.710000000000000000e+02,-9.502858507381817788e+01,9.188005828857421875e+01,-8.493705391883850098e-01
2.720000000000000000e+02,-9.502677591625301545e+01,9.189107513427734375e+01,-8.543454408645629883e-01
2.730000000000000000e+02,-9.502496099453905742e+01,9.190211486816406250e+01,-8.593327999114990234e-01
2.740000000000000000e+02,-9.502314529808268162e+01,9.191318511962890625e+01,-8.643324971199035645e-01
2.750000000000000000e+02,-9.502132576368884997e+01,9.192428588867187500e+01,-8.693445324897766113e-01
2.760000000000000000e+02,-9.501950124779918383e+01,9.193541717529296875e+01,-8.743690252304077148e-01
